gene,immune_cells,cor,p.value
RS,ABCB10,-0.0334722965917444,0.567562112064466
RS,ABCB11,-0.037144619727021,0.525817644428787
RS,ABCB4,-0.0130271168467378,0.823981959524048
RS,ABCB5,-0.0383594673636697,0.512360183140299
RS,ABCB6,-0.0487640480391379,0.404809184036084
RS,ABCB7,0.0207571661020146,0.723014217196798
RS,ABCB8,-0.0599468115584991,0.30563860013885
RS,ABCB9,-0.0550731432032312,0.346705236819993
RS,ABCC1,-0.0681238673512475,0.244238388019419
RS,ABCC10,-0.098989359795276,0.0902183826097384
RS,ABCC11,-0.0528244037739843,0.366779848618789
RS,ABCC12,0.041800431365928,0.475235260021417
RS,ABCC2,-0.0495221044212243,0.397536501938308
RS,ABCC3,0.134027424216157,0.0215229910732348
RS,ABCC4,-0.0514254719855676,0.379624541399548
RS,ABCC5,-0.0966236550746179,0.0982161583884819
RS,ABCC6,-0.0773815680702512,0.185785513002859
RS,ABCC6P1,-0.0807827802247552,0.167127057777
RS,ABCC6P2,-0.0678028930823572,0.246472906685515
RS,ABCC8,-0.0382037795561286,0.51407477635342
RS,ABCC9,0.0380900796748724,0.515328828975379
RS,ABCD1,-0.0708417722002773,0.225883590690969
RS,ABCD2,0.0516090802242873,0.377923173688293
RS,ABCD3,-0.113911933828382,0.0510311421900901
RS,ABCD4,-0.00934072474590657,0.873289724251549
RS,ABCE1,-0.0279751787272996,0.632846322031147
RS,ABCF1,-0.0246330276762054,0.674023114740571
RS,ABCF2,-0.0487572700605172,0.404874565941242
RS,ABCF3,-0.00486417639282418,0.93381302225899
RS,ABCG1,0.0688667431381438,0.239121115713884
RS,ABCG2,0.0377231315019746,0.519386835620518
RS,ABCG4,-0.0878689890164004,0.132805587938225
RS,ABCG5,0.0136099956443882,0.816243315138937
RS,ABCG8,-0.0133018349451509,0.820332469125458
RS,ABHD1,-0.0424705896619136,0.468179647326352
RS,ABHD10,0.00242166937856837,0.967019941345127
RS,ABHD11,-0.0328655129948564,0.57460860408751
RS,ABHD12,-0.0709203175152165,0.225368124771707
RS,ABHD12B,-0.0445013912115318,0.447155363700675
RS,ABHD13,-0.0683916068264618,0.242385328788759
RS,ABHD14A,-0.01413960831755,0.809227266533484
RS,ABHD14A-ACY1,0.0126768902157345,0.82864002836115
RS,ABHD14B,-0.0102390267127086,0.861221532692144
RS,ABHD15,-0.0183354967234462,0.754223459488875
RS,ABHD16A,0.0830503670380816,0.155489607784842
RS,ABHD16B,-0.0113137022713903,0.846826331889456
RS,ABHD17A,0.058854287903975,0.314553228500058
RS,ABHD17AP6,0.00356459112660242,0.95147084495559
RS,ABHD17C,-0.00998113654511858,0.864682975029378
RS,ABHD2,-0.0181301120096174,0.756889641278362
RS,ABHD3,-0.0306253994423696,0.60097293439649
RS,ABHD4,0.0218524934283018,0.709043825686381
RS,ABHD5,-0.0230598671904464,0.693756519366331
RS,ABHD6,-0.0368876013495493,0.528687630199162
RS,ABHD8,-0.0218573040835681,0.708982678194939
RS,ABI1,-0.0521544967065086,0.37289680714751
RS,ABI2,0.00639786120035345,0.913016689813966
RS,ABI3,-0.00378594834470015,0.948461288626975
RS,ABI3BP,0.0988440313276887,0.0906941768438628
RS,ABL1,-0.0372735668671475,0.524380752315236
RS,ABL2,0.0585367316674222,0.317175964155696
RS,ABLIM1,-0.067561179023772,0.248165021908267
RS,ABLIM2,-0.0206359987658885,0.724565407606311
RS,ABLIM3,-0.00221697249085849,0.969806267384789
RS,ABO,0.0219407715272327,0.707922033765919
RS,ABR,-0.0929701032364941,0.111663295812759
RS,ABRA,0.0113379340666323,0.846502315513721
RS,ABRACL,-0.0602309963929569,0.303347336520838
RS,ABT1,-0.0325009676755489,0.578861724498037
RS,ABTB1,-0.0342510712599624,0.558579088064463
RS,ABTB2,-0.0147732431353616,0.800853231297022
RS,AC003958.2,-0.0660769787580798,0.258732374062009
RS,AC004381.6,-0.0836172637414132,0.152678197056351
RS,AC004448.5,-0.00378594834470015,0.948461288626975
RS,AC004702.2,0.0580231999606425,0.321447387597717
RS,AC004987.9,0.0590482269232836,0.312958459524199
RS,AC005017.2,-0.0628968783780671,0.282407334175414
RS,AC005251.3,0.0633844510786723,0.278685633455165
RS,AC005522.7,-0.0937532002274326,0.108665659868404
RS,AC005863.1,-0.0428693745413682,0.464008674863616
RS,AC006538.4,0.0953370628619947,0.102796603862005
RS,AC007040.11,0.132619774564607,0.0229465642421313
RS,AC007040.8,0.0925836458840309,0.113166353197711
RS,AC008268.2,0.0258132841684101,0.659362451259183
RS,AC008984.5,-0.0175530332345189,0.764396260819757
RS,AC009120.6,0.0306317638798467,0.600897265632959
RS,AC009264.1,-0.0010325313667364,0.985934974113377
RS,AC010203.1,-0.0934072474590657,0.109982037171692
RS,AC010731.4,-0.0850117491946306,0.145926439117258
RS,AC011330.5,0.027189992657392,0.642424919339348
RS,AC011453.3,0.0285667011463739,0.625670384487475
RS,AC011453.4,-0.06986795581583,0.232344032343136
RS,AC011467.1,-0.0543145846336049,0.353397736071766
RS,AC015849.16,-0.0450837425267501,0.44122651646385
RS,AC016734.2,-0.00172976384183455,0.976439545064478
RS,AC016757.3,-0.113853083084285,0.0511519130727358
RS,AC016995.3,0.0660769787580798,0.258732374062008
RS,AC018462.2,0.0287140797744535,0.623887931248206
RS,AC022007.5,-0.0218524934283018,0.709043825686378
RS,AC023310.1,-0.0316922255393362,0.58834940247105
RS,AC025048.1,0.0160898991199707,0.783526133981594
RS,AC027612.6,0.00722771956715483,0.901787790649954
RS,AC061975.1,-0.00731359050907757,0.900626938603076
RS,AC073310.4,-0.0626174510744107,0.284555279900853
RS,AC073869.1,-0.0568268453222787,0.331542594544815
RS,AC073869.20,-0.0340961071933672,0.560361080815988
RS,AC078899.1,0.0609465875756464,0.297628251439169
RS,AC080008.1,-0.0380306706472034,0.515984708690737
RS,AC090825.1,-0.0283681270060866,0.628075460607714
RS,AC091565.1,-0.0705743647468496,0.22764476930183
RS,AC092071.1,-0.0643472149162452,0.271434612139591
RS,AC093838.4,-0.0249434549465911,0.670154876561979
RS,AC096579.13,0.0321797982399413,0.582620928144091
RS,AC097374.2,-0.0287667893357051,0.623250972490086
RS,AC100757.1,-0.0068260178084724,0.907220958052049
RS,AC104389.1,0.0182413874790098,0.755444769971741
RS,AC105339.2,0.0780116320968274,0.182218188191229
RS,AC107977.2,0.0302295074375206,0.605688206642307
RS,AC116165.1,0.000487572700605172,0.993358073709084
RS,AC124312.1,0.0297519380795543,0.611398117872676
RS,AC125232.1,0.0010325313667364,0.985934974113376
RS,AC126323.1,0.0368876013495493,0.528687630199162
RS,AC215219.2,-0.011416441356108,0.845452729889927
RS,AC243562.1,0.0746864355272666,0.201625447982963
RS,AC245033.1,-0.0604590148750413,0.301517152112149
RS,ACAA1,-0.0801258092371067,0.17061739445047
RS,ACAA2,0.0339935781931635,0.561541606456267
RS,ACACA,-0.0184405208855448,0.752861221538369
RS,ACACB,-0.0426730232357205,0.466059776331519
RS,ACAD10,0.0923738537857703,0.113988918354872
RS,ACAD11,-0.0448321103706939,0.443782838008859
RS,ACAD8,-0.0209362061713658,0.720724209963205
RS,ACAD9,-0.085829982128186,0.142071996909053
RS,ACADL,-0.0340735351023013,0.560620874633242
RS,ACADM,-0.0287852466861757,0.623027994348232
RS,ACADS,0.0664261845933753,0.25621858619788
RS,ACADSB,0.0209751780232698,0.72022607075408
RS,ACADVL,0.00604430669293454,0.917806057512165
RS,ACAN,-0.060667736434027,0.299848278844384
RS,ACAP1,-0.0314627670349046,0.591054231418477
RS,ACAP2,0.0820277018971714,0.160659920859296
RS,ACAP3,0.0697228961865395,0.233317432341563
RS,ACAT1,-0.0650391204529791,0.266303633314941
RS,ACAT2,-0.0868341448600944,0.137448586774344
RS,ACBD3,-0.0359790879101586,0.538895698537429
RS,ACBD4,-0.0484696681348531,0.4076546231203
RS,ACBD5,-0.0017087132736086,0.976726185429196
RS,ACBD6,0.00697873539045528,0.905154872448752
RS,ACBD7,0.0306317638798467,0.600897265632959
RS,ACCS,0.0101208401590663,0.862807526155942
RS,ACCSL,0.0439531860616977,0.452777527730867
RS,ACD,0.01798211020363,0.758812700531364
RS,ACE,-0.0581922707323967,0.320036993344262
RS,ACE2,0.0110508511642469,0.850342699848996
RS,ACER1,0.0436669443002773,0.455728814763736
RS,ACER2,-0.00541926608876519,0.926280223393054
RS,ACER3,-0.0287667893357051,0.623250972490086
RS,ACHE,-0.0741780871479965,0.20471982332522
RS,ACIN1,-0.0589007354867401,0.314170804800551
RS,ACKR1,-0.12079288449587,0.038459054580169
RS,ACKR2,0.101513355996721,0.0822693419179008
RS,ACKR3,0.0571154518067917,0.329088778127169
RS,ACKR4,-0.015963168958263,0.78518940480344
RS,ACLY,-0.035094341850269,0.548930293356046
RS,ACMSD,0.0300455252765756,0.607885120593947
RS,ACO1,-0.061645117332495,0.292115107417793
RS,ACO2,-0.0564175033122077,0.335043066898377
RS,ACOT1,0.109865234289739,0.0599079376343752
RS,ACOT11,-0.0198473618703769,0.73468882296563
RS,ACOT12,0.00689724774933752,0.906257223860444
RS,ACOT13,0.0781282067497213,0.181563738398928
RS,ACOT2,0.0640012621478783,0.274025201334558
