gene,immune_cells,cor,p.value
LINC01270,Macrophage,-0.0982680677595932,0.0914800526836704
LINC01270,Mast cell,-0.219338136287289,0.000147501642287656
LINC01270,MDSC,-0.101963288403966,0.0798855064608279
LINC01270,Memory B cell,-0.194115224623699,0.000802647064548958
LINC01270,Monocyte,-0.0982143931296473,0.0916579019737165
LINC01270,Natural killer cell,-0.135619132229302,0.0196473051868422
LINC01270,Natural killer T cell,-0.170776014843811,0.00324046927583795
LINC01270,Neutrophil,-0.189559821763212,0.00106753503076196
LINC01270,Plasmacytoid dendritic cell,-0.0462582767667513,0.427606527233603
LINC01270,Regulatory T cell,-0.199944011808419,0.000552150250028545
LINC01270,T follicular helper cell,-0.158809348639857,0.00622733999997932
LINC01270,Type 1 T helper cell,-0.180341666782345,0.00186521005744483
LINC01270,Type 17 T helper cell,-0.0413086430035583,0.478726117310609
LINC01270,Type 2 T helper cell,-0.152085213102162,0.00882718932718368
CHKB-AS1,Activated B cell,0.00519116959794926,0.929093506039814
CHKB-AS1,Activated CD4 T cell,0.0586052925035976,0.314760051886364
CHKB-AS1,Activated CD8 T cell,-0.0210251854319651,0.718512430802064
CHKB-AS1,Activated dendritic cell,0.0778818880513796,0.181348354691962
CHKB-AS1,CD56bright natural killer cell,0.0660609762304677,0.257056489513895
CHKB-AS1,CD56dim natural killer cell,-0.0247527959392366,0.671298375078007
CHKB-AS1,Central memory CD4 T cell,-0.0633351379114091,0.277241552297377
CHKB-AS1,Central memory CD8 T cell,-0.0351499419296029,0.546714772637214
CHKB-AS1,Effector memeory CD4 T cell,-0.184742986437902,0.00143349024795823
CHKB-AS1,Effector memeory CD8 T cell,0.0407700458547916,0.484482509728699
CHKB-AS1,Eosinophil,-0.122262015482354,0.0355670836500134
CHKB-AS1,Gamma delta T cell,0.0198461944224656,0.7336817355125
CHKB-AS1,Immature  B cell,-0.0144329229074992,0.804583027565449
CHKB-AS1,Immature dendritic cell,-0.0148590809607759,0.798934372824391
CHKB-AS1,Macrophage,0.104045493876002,0.0738951283158721
CHKB-AS1,Mast cell,0.00326628631713377,0.955351352936671
CHKB-AS1,MDSC,0.0222897782219816,0.702363829043594
CHKB-AS1,Memory B cell,-0.0531910955639769,0.361607347419128
CHKB-AS1,Monocyte,0.0406839813619475,0.48540579620928
CHKB-AS1,Natural killer cell,0.0454656505503963,0.435573199863283
CHKB-AS1,Natural killer T cell,0.0199924115178352,0.731794679904754
CHKB-AS1,Neutrophil,-0.0406460389511237,0.485813137639068
CHKB-AS1,Plasmacytoid dendritic cell,0.137668022413785,0.0178594911328545
CHKB-AS1,Regulatory T cell,-0.0991000245237533,0.0887585624091974
CHKB-AS1,T follicular helper cell,0.0169732135833831,0.771072027661409
CHKB-AS1,Type 1 T helper cell,-0.0247083755558332,0.671853906716109
CHKB-AS1,Type 17 T helper cell,0.0459061526858137,0.431135237681321
CHKB-AS1,Type 2 T helper cell,-0.0737831822577585,0.205469222751403
NUTM2A-AS1,Activated B cell,-0.11653687585891,0.045188716751489
NUTM2A-AS1,Activated CD4 T cell,-0.129008361211751,0.0265177284917401
NUTM2A-AS1,Activated CD8 T cell,-0.263849211306838,4.5351745290242e-06
NUTM2A-AS1,Activated dendritic cell,-0.110110264347552,0.0585027261277658
NUTM2A-AS1,CD56bright natural killer cell,-0.149555102097475,0.0100318382519939
NUTM2A-AS1,CD56dim natural killer cell,-0.126454651878381,0.0296784512872318
NUTM2A-AS1,Central memory CD4 T cell,-0.172718481193057,0.00290298447037095
NUTM2A-AS1,Central memory CD8 T cell,-0.144276017157373,0.0130244554067793
NUTM2A-AS1,Effector memeory CD4 T cell,-0.258191164970826,7.31887560662164e-06
NUTM2A-AS1,Effector memeory CD8 T cell,-0.0852010716417496,0.143587674600648
NUTM2A-AS1,Eosinophil,-0.272592160727754,2.11945801173464e-06
NUTM2A-AS1,Gamma delta T cell,-0.199090770277211,0.000583607472966435
NUTM2A-AS1,Immature  B cell,-0.109435629774613,0.0600717129984303
NUTM2A-AS1,Immature dendritic cell,-0.183727795592202,0.00152401463483691
NUTM2A-AS1,Macrophage,-0.10003053901359,0.0857920718564961
NUTM2A-AS1,Mast cell,-0.236067963186607,4.29634388336345e-05
NUTM2A-AS1,MDSC,-0.132298708569895,0.0228756362867603
NUTM2A-AS1,Memory B cell,-0.228303187625222,7.7008781325169e-05
